age,income,gender,education,employment_status,credit_score,label
57,88058,Female,Master,Unemployed,430,1
49,77697,Female,Master,Unemployed,596,0
29,32045,Male,Bachelor,Employed,744,0
55,80062,Female,Bachelor,Unemployed,725,1
29,55731,Female,Master,Unemployed,677,0
36,94348,Female,Bachelor,Unemployed,468,0
63,47403,Female,PhD,Unemployed,849,1
40,99020,Male,PhD,Self-employed,715,1
42,25727,Male,Bachelor,Unemployed,540,1
26,110281,Male,High School,Employed,604,0
60,47284,Female,PhD,Self-employed,519,0
39,20093,Male,Master,Unemployed,709,1
41,89783,Male,High School,Employed,581,1
64,65161,Male,High School,Self-employed,824,0
56,63022,Female,Bachelor,Self-employed,777,0
64,119920,Male,High School,Unemployed,670,0
64,71012,Male,Master,Self-employed,784,1
64,40486,Male,High School,Self-employed,489,1
34,77089,Male,PhD,Self-employed,300,0
34,49173,Male,Master,Employed,830,1
38,59829,Male,Bachelor,Unemployed,593,0
19,51868,Female,High School,Employed,792,0
64,43229,Male,High School,Self-employed,849,0
34,61947,Male,High School,Unemployed,705,1
39,71376,Female,PhD,Unemployed,652,0
39,90837,Male,Master,Unemployed,574,1
59,105900,Male,Bachelor,Employed,648,1
58,26574,Male,High School,Self-employed,849,0
41,79239,Male,High School,Unemployed,779,1
58,24686,Male,Bachelor,Unemployed,849,0
64,44128,Male,Bachelor,Unemployed,849,0
54,25965,Female,PhD,Unemployed,726,0
39,45711,Female,PhD,Unemployed,826,1
64,45410,Male,Master,Self-employed,839,0
27,70567,Male,Master,Unemployed,735,1
58,104915,Male,High School,Unemployed,849,0
64,61690,Female,High School,Self-employed,497,0
50,111412,Female,Master,Employed,757,0
47,20093,Female,High School,Self-employed,697,1
24,62789,Male,High School,Unemployed,758,0
64,64175,Female,Bachelor,Self-employed,849,0
34,46392,Female,High School,Unemployed,576,1
36,73228,Female,Bachelor,Employed,691,0
52,92388,Male,Bachelor,Unemployed,849,0
18,25407,Female,PhD,Employed,544,1
52,83869,Female,Bachelor,Unemployed,849,1
52,69211,Male,High School,Unemployed,807,0
53,64723,Female,Master,Unemployed,849,0
55,119920,Male,PhD,Unemployed,483,0
61,20093,Male,Bachelor,Employed,798,1
18,47840,Female,High School,Self-employed,574,0
64,80522,Male,PhD,Self-employed,551,1
48,82589,Female,Master,Employed,406,0
64,119920,Male,PhD,Employed,564,0
64,22451,Male,Master,Employed,783,0
64,64707,Female,Master,Employed,711,0
32,105014,Female,PhD,Unemployed,489,0
42,32181,Female,PhD,Self-employed,684,0
61,51410,Male,High School,Self-employed,608,1
30,59445,Male,High School,Unemployed,485,0
55,85802,Female,PhD,Self-employed,849,0
23,98481,Male,PhD,Self-employed,447,0
29,76874,Female,PhD,Unemployed,503,0
64,43533,Female,Bachelor,Self-employed,643,0
64,105818,Male,PhD,Self-employed,315,0
64,83333,Female,Bachelor,Self-employed,627,0
64,52078,Female,Master,Self-employed,618,1
30,80089,Male,PhD,Employed,786,1
60,79781,Female,Master,Self-employed,772,1
32,20093,Female,High School,Employed,841,1
38,57768,Male,PhD,Employed,729,0
64,47791,Female,PhD,Employed,489,1
63,25071,Female,Master,Employed,564,0
35,20093,Female,Bachelor,Employed,369,1
27,20093,Female,PhD,Unemployed,687,1
58,74974,Male,Master,Unemployed,528,1
55,119920,Female,Bachelor,Self-employed,849,0
32,119920,Female,Master,Employed,425,0
